Ticker,Date,Share_Price_D-1,Share_Price_D1,Share_Price_D5,Perc_Return_D1,Perc_Return_D5,XBI_Price_D-1,XBI_Price_D1,XBI_Price_D5,XBI_Return_D1,XBI_Return_D5,row_id
HCM,7/31/2024,2.82,3,3.11,0.063829787,0.102836879,98.99,98.67,92.36,-0.00323265,-0.066976462,1670
HCM,7/31/2024,2.82,3,3.11,0.063829787,0.102836879,98.99,98.67,92.36,-0.00323265,-0.066976462,1671
HCM,7/31/2024,2.82,3,3.11,0.063829787,0.102836879,98.99,98.67,92.36,-0.00323265,-0.066976462,1672
AGIO,8/1/2024,46.4,44.5,43.79,-0.040948276,-0.05625,99.06,96.47,95,-0.02614577,-0.040985261,1673
LLY,8/1/2024,804.27,832.44,845.31,0.035025551,0.05102764,99.06,96.47,95,-0.02614577,-0.040985261,1674
RDHL,8/1/2024,9.6025,19,11.35,0.978651393,0.181983858,99.06,96.47,95,-0.02614577,-0.040985261,1675
NRSN,8/1/2024,0.7598,0.68,0.628,-0.105027639,-0.173466702,99.06,96.47,95,-0.02614577,-0.040985261,1676
GSK,8/1/2024,15.12,15.26,15.6,0.009259259,0.031746032,99.06,96.47,95,-0.02614577,-0.040985261,1677
SUPN,8/1/2024,29.82,29.57,31.48,-0.008383635,0.055667337,99.06,96.47,95,-0.02614577,-0.040985261,1678
RGNX,8/1/2024,14.25,13.31,11.89,-0.065964912,-0.165614035,99.06,96.47,95,-0.02614577,-0.040985261,1679
CLSD,8/1/2024,17.09999,16.94999,15.89999,-0.008771935,-0.07017548,99.06,96.47,95,-0.02614577,-0.040985261,1680
MRK,8/1/2024,113.13,113.82,113.92,0.006099178,0.006983117,99.06,96.47,95,-0.02614577,-0.040985261,1681
PDSB,8/1/2024,3.56,3.23,3.05,-0.092696629,-0.143258427,99.06,96.47,95,-0.02614577,-0.040985261,1682
IONS,8/1/2024,49.46,51.32,47.51,0.037606146,-0.039425799,99.06,96.47,95,-0.02614577,-0.040985261,1683
RGNX,8/1/2024,14.25,13.31,11.89,-0.065964912,-0.165614035,99.06,96.47,95,-0.02614577,-0.040985261,1684
JAGX,8/1/2024,30.75,29.75,27.75,-0.032520325,-0.097560976,99.06,96.47,95,-0.02614577,-0.040985261,1685
XOMA,8/2/2024,25.77,24.89,23.82,-0.034148234,-0.075669383,98.67,93.43,95.54,-0.053106314,-0.031721901,1686
ZVRA,8/2/2024,6.3,6.3,6.61,0,0.049206349,98.67,93.43,95.54,-0.053106314,-0.031721901,1687
ATNM,8/5/2024,6.17,2.48,1.99,-0.598055105,-0.677471637,96.47,94.44,95.81,-0.021042811,-0.006841505,1688
IXHL,8/5/2024,1.8361,2.04,1.97,0.111050596,0.072926311,96.47,94.44,95.81,-0.021042811,-0.006841505,1689
XOMA,8/5/2024,24.89,23.54,23.13,-0.05423865,-0.070711129,96.47,94.44,95.81,-0.021042811,-0.006841505,1690
RZLT,8/5/2024,4.3,4.4,4.27,0.023255814,-0.006976744,96.47,94.44,95.81,-0.021042811,-0.006841505,1691
ANNX,8/5/2024,5.97,5.41,5.61,-0.093802345,-0.060301508,96.47,94.44,95.81,-0.021042811,-0.006841505,1692
LTRN,8/5/2024,3.74,3.52,3.86,-0.058823529,0.032085561,96.47,94.44,95.81,-0.021042811,-0.006841505,1693
TFFP,8/6/2024,42.05,42.05,42.05,0,0,93.43,92.36,96.95,-0.011452424,0.037675265,1694
ADTX,8/6/2024,9060,9970,11100,0.100441501,0.225165563,93.43,92.36,96.95,-0.011452424,0.037675265,1695
EQ,8/6/2024,0.6355,0.7299,0.72995,0.148544453,0.148623131,93.43,92.36,96.95,-0.011452424,0.037675265,1696
